epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
48,3133.65,0.28473,0.14039,0.00264,0.98958,0.99076,0.99448,0.99002,0.1345,0.06853,0.00134,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,3198.2,0.28185,0.13825,0.00261,0.99121,0.99398,0.99471,0.99055,0.13818,0.06447,0.00128,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,3262.23,0.28432,0.14066,0.00265,0.98788,0.99493,0.99464,0.99064,0.12943,0.0655,0.00126,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,3326.28,0.28263,0.13976,0.00262,0.99125,0.99208,0.99464,0.99012,0.13778,0.06571,0.00144,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,3390.22,0.28148,0.1377,0.00262,0.99037,0.99298,0.99475,0.9901,0.13376,0.06399,0.00141,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,3454.31,0.27875,0.13825,0.00265,0.99106,0.99247,0.99473,0.99036,0.12906,0.06202,0.00127,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,3518.32,0.28233,0.14002,0.00261,0.99297,0.99111,0.99477,0.99057,0.12842,0.06388,0.00126,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,3582.7,0.28029,0.13937,0.00258,0.99199,0.99303,0.99475,0.991,0.12194,0.06065,0.00113,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,3646.55,0.27979,0.14174,0.00265,0.99174,0.9916,0.99472,0.991,0.12722,0.06282,0.00125,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,3710.64,0.28209,0.13911,0.00268,0.99004,0.99194,0.99463,0.99052,0.12772,0.06336,0.00125,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,3774.68,0.28292,0.14033,0.00264,0.99064,0.99321,0.99475,0.99066,0.12336,0.06086,0.00118,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,3839.15,0.27851,0.13812,0.00262,0.99108,0.9927,0.99455,0.99071,0.12491,0.06209,0.00121,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,3904.9,0.27912,0.13757,0.00257,0.98912,0.99083,0.99454,0.99073,0.12351,0.06554,0.00118,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,3969.02,0.27568,0.135,0.00254,0.98918,0.99157,0.99466,0.99053,0.1246,0.06437,0.00118,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,4034.65,0.27362,0.13465,0.00253,0.99249,0.99098,0.99469,0.99133,0.12033,0.06181,0.00109,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,4099.25,0.27362,0.13202,0.00253,0.98925,0.9939,0.9947,0.99112,0.12063,0.06052,0.00116,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,4163.69,0.27359,0.13361,0.00255,0.99162,0.99388,0.99473,0.99123,0.12069,0.05957,0.00111,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,4227.94,0.27083,0.13367,0.00251,0.99376,0.9934,0.99475,0.99147,0.11711,0.05858,0.00109,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,4291.91,0.27346,0.13365,0.00253,0.99492,0.99278,0.99476,0.99138,0.11722,0.05658,0.00106,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,4355.93,0.27303,0.13338,0.00255,0.99188,0.99495,0.99476,0.99128,0.11538,0.05746,0.00105,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,4420.15,0.2719,0.1325,0.0025,0.99359,0.9927,0.99475,0.99172,0.11593,0.05809,0.00105,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,4484.41,0.2725,0.13528,0.00249,0.99212,0.99498,0.99475,0.99177,0.11294,0.05715,0.00101,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,4548.76,0.26884,0.13229,0.00251,0.9918,0.9936,0.99477,0.99191,0.11299,0.05725,0.00101,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,4613.06,0.27126,0.13378,0.0025,0.9924,0.99511,0.99481,0.99197,0.11166,0.05472,0.00098,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,4677.58,0.27256,0.13589,0.00254,0.9935,0.99542,0.99478,0.99155,0.11528,0.05647,0.00104,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,4742.13,0.26797,0.13197,0.00248,0.99235,0.99393,0.99476,0.99166,0.11482,0.05536,0.00106,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,4806.46,0.2676,0.13085,0.00246,0.99415,0.99331,0.99478,0.99166,0.11396,0.05561,0.00104,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,4870.63,0.26878,0.13117,0.0025,0.99477,0.99219,0.99479,0.99167,0.11197,0.05499,0.00098,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,4934.91,0.26792,0.13116,0.00249,0.99303,0.99351,0.99478,0.99147,0.11038,0.05612,0.00096,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,5000.3,0.26816,0.13055,0.00247,0.99207,0.99512,0.99484,0.99178,0.10982,0.05463,0.00094,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,5064.44,0.2659,0.12879,0.00244,0.99416,0.99234,0.99484,0.99176,0.10946,0.05527,0.00093,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,5128.77,0.26921,0.13159,0.00247,0.99227,0.9951,0.99484,0.99182,0.10923,0.05419,0.00092,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,5193.17,0.26544,0.13009,0.00245,0.99081,0.99565,0.99482,0.99202,0.10815,0.05392,0.0009,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,5257.59,0.26822,0.13277,0.00249,0.99133,0.99466,0.99481,0.99204,0.10898,0.05469,0.0009,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,5322.02,0.26539,0.12978,0.00243,0.98911,0.99672,0.99477,0.99207,0.1077,0.0542,0.00089,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,5386.4,0.26327,0.12838,0.0024,0.99097,0.99573,0.99478,0.99183,0.10741,0.05373,0.00089,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,5450.57,0.26473,0.12987,0.00242,0.99091,0.99658,0.9948,0.99205,0.10696,0.05351,0.00089,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,5514.91,0.2652,0.12871,0.00246,0.99071,0.99599,0.99473,0.99204,0.10651,0.05425,0.00088,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,5579.07,0.26102,0.12768,0.00239,0.9904,0.99424,0.99476,0.99213,0.10648,0.05509,0.00088,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,5643.17,0.26366,0.12893,0.00241,0.99016,0.99697,0.99476,0.99227,0.10608,0.0539,0.00089,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,5707.46,0.26341,0.13102,0.00245,0.99262,0.99439,0.99478,0.99228,0.10616,0.05322,0.00089,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,5771.74,0.2655,0.13073,0.00239,0.98957,0.99515,0.99474,0.99219,0.10619,0.05399,0.00089,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,5836.99,0.26213,0.12793,0.00237,0.99025,0.99652,0.9947,0.99216,0.10542,0.05308,0.00087,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,5901.73,0.26095,0.12703,0.00237,0.99249,0.99359,0.99472,0.99216,0.1051,0.05361,0.00087,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,5966.25,0.26038,0.12798,0.00237,0.99179,0.99544,0.99473,0.99224,0.10474,0.05224,0.00086,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,6031.3,0.25943,0.12962,0.00237,0.99098,0.99609,0.99472,0.99232,0.10464,0.05434,0.00086,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,6095.83,0.26237,0.12926,0.00237,0.99062,0.99629,0.99473,0.99235,0.10416,0.05245,0.00086,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
